name,roaster_name,date_added,date_removed,profiles,tasting
Privam Estate AA Week 23,Christopher L,2025-11-27,2026-01-15,single origin,
Tariku Kare,Christopher L,2025-11-27,2026-01-15,single origin,
Dukorere Kawa Anaerobic Lot 10,Christopher L,2026-01-27,,single origin,
Salomon Estela Marshell Natural K56,Christopher L,2026-01-27,,single origin,
Minor Monuments,Go Get Em Tiger,2025-11-27,,blend;espresso,brown sugar;plum;dark chocolate
Humbuggle: A Holiday Blend,Go Get Em Tiger,2025-11-27,2026-01-01,blend;filter,chocolate;cherry;geranium
Placer de la Tarde,Go Get Em Tiger,2025-11-27,,decaf;espresso;single origin,brownie;black forest cake;cherry
Breakfast Blend,Community Coffee,2026-09-12,,,hazelnut;honey;milk chocolate
Test Batch,Modus,2026-09-12,,,
Kabiufa,Rhino Coffee,2026-09-12,,single origin,butterscotch;grapefruit;black currant
El Concaste Gesha,Lumen Coffee,2026-09-12,,single origin,orange blossom;honey;blackberry;rose petal jam
